ts,ms_played,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,skipped
2018-12-09 22:25:26+00:00,217653,No Me Acuerdo,Thalia,Valiente,False
2018-12-09 22:25:29+00:00,3164,Thunderclouds,Sia,Mountains,False
2018-12-09 22:25:31+00:00,1498,Lo siento,Beret,Lo siento,False
2018-12-09 22:25:32+00:00,1136,Ni La Hora,Ana Guerra,Ni La Hora,False
2018-12-09 22:25:32+00:00,1498,Déjala Que Baile (with Alejandro Sanz & Arkano),Melendi,Ahora,False
2018-12-09 22:25:33+00:00,1408,Back To You - From 13 Reasons Why – Season 2 Soundtrack,Selena Gomez,Back To You,False
2018-12-09 22:25:34+00:00,1129,Flames,David Guetta,7,False
2018-12-09 22:25:35+00:00,1302,In My Mind,Dynoro,In My Mind,False
2018-12-09 22:25:36+00:00,1086,Clandestino,Shakira,Clandestino,False
2018-12-09 22:28:51+00:00,2496,X,Nicky Jam,X,False
2018-12-10 14:11:05+00:00,187666,Mujeres,Mozart La Para,Mujeres,False
2018-12-10 18:48:15+00:00,87731,El Clavo,Prince Royce,El Clavo,False
2018-12-10 18:52:21+00:00,173627,X,Nicky Jam,X,False
2018-12-10 18:56:01+00:00,219600,Déjala Que Baile (with Alejandro Sanz & Arkano),Melendi,Ahora,False
2018-12-10 18:59:13+00:00,194680,Flames,David Guetta,7,False
2018-12-10 19:02:37+00:00,204346,Believer,Imagine Dragons,Evolve,False
2018-12-10 19:06:10+00:00,213040,Genius,Sia,Mountains,False
2018-12-10 19:09:35+00:00,205920,no tears left to cry,Ariana Grande,Sweetener,False
2018-12-10 19:09:39+00:00,4191,Thunderclouds,Sia,Mountains,False
2018-12-10 19:12:57+00:00,198406,Ni La Hora,Ana Guerra,Ni La Hora,False
2018-12-10 19:16:31+00:00,214846,One Kiss (with Dua Lipa),Calvin Harris,One Kiss (with Dua Lipa),False
2018-12-10 19:19:44+00:00,195518,I'm a Mess,Bebe Rexha,Expectations,False
2018-12-10 19:20:44+00:00,7275,Lo siento,Beret,Lo siento,False
2018-12-10 19:24:54+00:00,250840,No Es Justo,J Balvin,Vibras,False
2018-12-10 19:27:04+00:00,130554,In My Mind,Dynoro,In My Mind,False
2018-12-10 19:30:43+00:00,219184,Cuando Nadie Ve,Morat,Cuando Nadie Ve,False
2018-12-10 19:36:39+00:00,217653,No Me Acuerdo,Thalia,Valiente,False
2018-12-10 19:37:16+00:00,4615,IDGAF,Dua Lipa,Dua Lipa,False
